source_country_iso3_code,destination_country_iso3_code,Diploma,Comparable to NLD,Comparable to AUS,Comparable to GBR
HRV,NLD,Sveučilišni Prvostupnik/Prvostupnica(university baccalaureus/baccalaurea),an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
HRV,NLD,"Magistar/Magistra(master's degree), duration: 1-2 years",an HBO master's degree or a WO master's degree,,
HRV,NLD,"Magistar/Magistra(master's degree), duration: 5-6 years",an HBO master's degree or a WO master's degree,,
HRV,NLD,Sveučilišni Specijalist(university specialist),an HBO master's degree or a WO master's degree,,
UNK,NLD,"Diploma Voorbereidend Secundair Beroepsonderwijs,theoretisch kadergerichte leerweg(tkl)",a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
UNK,NLD,Diploma Middelbaar Algemeen Voortgezet Onderwijs,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
UNK,NLD,Associate of Arts in Business from the University of St. Martin,an MBO diploma level 2 or 3,,
UNK,NLD,Associate of Arts in General Liberal Artsfrom the University of St. Martin,an MBO diploma level 2 or 3,,
UNK,NLD,Diploma Secundair Beroepsonderwijs(niveau4) of amiddenkaderfunctionarisprogramme,an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
UNK,NLD,Diploma Hoger Algemeen Voortgezet Onderwijs,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,"Certificate of Secondary Education(CXC-examen) from the St. Maarten, Carribean Examination Council with grade 1, 2 or 3 for at least 5 subjects at general level",a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,Diploma Voorbereidend Wetenschappelijk Onderwijs,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,Getuigschrift Operatieassistentfrom theInstituto pa Formashon den Enfermeria,3 years of HBO,,
UNK,NLD,Bachelor of Arts in Elementary Education from the University of St. Martin,an HBO bachelor's degree,,
UNK,NLD,Bachelor of Business Administration (BBA) from the University of the Dutch Caribbean,an HBO bachelor's degree,,
UNK,NLD,Bachelor of Laws (LL.B.) from the University of the Dutch Caribbean,an HBO bachelor's degree,,
UNK,NLD,Bachelor's degree from the University of Curaçao Dr. Moises Da Costa Gomez,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
UNK,NLD,Akte van Bekwaamheid tot volledig bevoegd onderwijzerfrom the Akademia Pedagógico Kòrsou,an HBO bachelor's degree,,
UNK,NLD,Master's degree from the University of Curaçao Dr. Moises Da Costa Gomez,an HBO master's degree or a WO master's degree,,
CYP,NLD,Apolytirio Techniki kai Epaggelmatiki Scholi(Τεχνική και Επαγγελματική Σχολή),"a HAVO diploma for the general education part, for the vocational education part usually an MBO diploma 3, sometimes an MBO diploma level 4",,
CYP,NLD,ApolytirioLykeiou(Απολυτήριο Λυκείου) with the commerce and service specialisation (Εμπόριου και Υπηρεσιών),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
CYP,NLD,ApolytirioLykeiou(Απολυτήριο Λυκείου) with thefine arts specialisation (Καλών Τεχνών),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
CYP,NLD,ApolytirioLykeiou(Απολυτήριο Λυκείου) with the classical studies and humanities specialisation (Κλασικών και Ανθρωπιστικών Σπουδών),a HAVO diploma in case of a final average mark below 15; ora VWO diploma (in case of a final average mark of 15 or higher),,
CYP,NLD,ApolytirioLykeiou(Απολυτήριο Λυκείου) with theeconomic sciences specialisation (Οικονομικών Επιστημών),a HAVO diploma in case of a final average mark below 15; ora VWO diploma in case of a final average mark of 15 or higher,,
CYP,NLD,ApolytirioLykeiou(Απολυτήριο Λυκείου) with theforeign languages and European studies specialisation (Ξένων Γλώσσων και Ευρωπαϊκών Σπουδών),a HAVO diploma in case of a final average mark below 15; ora VWO diploma in case of a final average mark of 15 or higher,,
CYP,NLD,ApolytirioLykeiou(Απολυτήριο Λυκείου) with thenatural sciences/life sciences/information science/technology specialisation (Θετικών Επιστημών/Βιοεπιστημών/Πληροφορικής/Τεχνολογίας),a HAVO diploma in case of a final average mark below 15; ora VWO diploma in case of a final average mark of 15 or higher,,
CYP,NLD,Ptychio (Πτυχίο)from a university,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
CYP,NLD,Ptychio (Πτυχίο)from a Higher Education Institution,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
CYP,NLD,Master (Μάστερ)from auniversity,an HBO master's degree or a WO master's degree,,
CYP,NLD,Metaptychiako Diploma (Μεταπτυχιακό Δίπλωμα)from a university,an HBO master's degree or a WO master's degree,,
CYP,NLD,Master (Μάστερ)from a Higher Education Institution,an HBO master's degree or a WO master's degree,,
CYP,NLD,Metaptychiako Diploma (Μεταπτυχιακό Δίπλωμα)from a Higher Education Institution,an HBO master's degree or a WO master's degree,,
CZE,NLD,Výuční list,an MBO diploma level 2 or 3,,
CZE,NLD,Vysvědčení o maturitní zkoušcefrom astřední odborné učiliště,an MBO diploma level 3 or 4,,
CZE,NLD,Vysvědčení o maturitní zkoušcefrom aconservatorium,a HAVO diploma for the general education part,,
CZE,NLD,Vysvědčení o maturitní zkoušcefrom astřední odborná skola,a VWO diploma for the general education part,,
CZE,NLD,Vysvědčení o maturitní zkoušcefrom agymnázium,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
CZE,NLD,Diplom absolventa vyšší odborné školywith thetitleDiS,2 to 3 years of HBO,,
CZE,NLD,Diplomwith theBakalářdegree,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
CZE,NLD,Diplomwith theMagistror Master/Inženýrdegree,an HBO master's degree or a WO master's degree,,
DNK,NLD,Erhvervsuddannelsen(EUD)/VET Diploma,"an MBO diploma level 2, 3 or 4",,
DNK,NLD,Bevis for højere forberedelseseksamen(hf)(obtained in 2017 or later),a HAVO diploma (if the student only passed thestandard exam subjects);at least a HAVO diploma (if the student passed the standard exam subjects + 1extra exam subjectat level A);a VWO diploma (if the student passed the standard exam subjects + 2 extra exam subjects at level A).,,
DNK,NLD,Bevis for højere forberedelseseksamen(hf)(obtained before 2017),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
DNK,NLD,Højere handelseksamen/merkantil studentereksamen(hhx),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
DNK,NLD,Højere teknisk eksamen/teknisk studentereksamen(htx),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
DNK,NLD,Studentereksamen(stx),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
DNK,NLD,AK diploma (120ECTS),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
DNK,NLD,Professional bachelor’s degree(professionsbachelor),an HBO bachelor's degree,,
DNK,NLD,University bachelor's degree:Bachelor(BSc);Bachelor of Arts; orBachelor of Science.,a WO bachelor's degree,,
DNK,NLD,Candidatus,a WO master's degree,Research master's degree,MA/MSc by research
ECU,NLD,Bachiller en ciencias,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
ECU,NLD,Bachiller en humanidades+ specialisation,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
ECU,NLD,Licenciado,"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
ECU,NLD,Título profesional,"usually an HBO bachelor's degree or a WO bachelor's degree, sometimes 2 years of WO",,
ECU,NLD,Magíster,an HBO master's degree or a WO master's degree,,
EGY,NLD,Basic education certificate,2 years of HAVO,,
EGY,NLD,Preparatory education certificate of Al-Azhar,2 years of HAVO,,
EGY,NLD,Secondary school technical diploma,an MBO diploma level 2 or 3,,
EGY,NLD,Diploma of advanced technical studies,"usually an MBO diploma level 4, sometimes an MBO diploma level 3",,
EGY,NLD,Intermediate institute diploma,an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
EGY,NLD,General secondary education certificate,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
EGY,NLD,Secondary education certificate of Al-Azhar,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
EGY,NLD,Higher Diploma of Technology,3 years of HBO,,
EGY,NLD,Bachelor's degree from a Higher Institute,an HBO bachelor's degree,,
EGY,NLD,Bachelor's degree from a university(duration: 4 years),an HBO bachelor's degree or 2 years of WO,,
EGY,NLD,Bachelor's degree from a university(duration: 5 years),"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
EGY,NLD,Bachelor of Medicine and Bachelor of Surgery (MBBS),1 year of a 3-year WO master's programme in medicine,,
EGY,NLD,Diploma of Higher Studies(duration: 1 year),a WO bachelor's degree or an HBO master's degree,,
EGY,NLD,Diploma of Higher Studies(duration: 2 years),an HBO master's degree or a WO master's degree,,
EGY,NLD,Master's degree from a university,"usually a 1-year WO master's degree, sometimes an HBO master's degree",,
ERI,NLD,Diploma (TVET),"usually an MBO diploma level 2, sometimes an MBO diploma level 3",,
ERI,NLD,Eritrean Secondary Education Certificate,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
ERI,NLD,Diploma from a higher education institution,2 or 3 years of HBO or a VWO diploma,,
ERI,NLD,Bachelor of Arts,an HBO bachelor's degree or 2 years of WO,,
ERI,NLD,Bachelor of Science,an HBO bachelor's degree or 2 years of WO,,
ERI,NLD,Bachelor of Engineering,"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
ERI,NLD,Bachelor of Laws (LL.B),a WO bachelor's degree,,
ERI,NLD,Bachelor of Science in Pharmacy,a WO bachelor's degree,,
ERI,NLD,Bachelor of Dentistry,1 year of a 3-year WO master's programme in dentistry,,
ERI,NLD,Bachelor of Medicine,1 year of a 3-year WO master's programme in medicine,,
ERI,NLD,Master's degree,an HBO master's degree or a 1-year WO master's degree,,
EST,NLD,Põhikooli lõputunnistus,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
EST,NLD,Lõputunnistus põhihariduse baasil kutseõppe läbimise kohta,an MBO diploma level 2 or 3,,
EST,NLD,Lõputunnistus keskhariduse baasil kutseõppe läbimise kohta,"an MBO diploma level 2, 3 or 4",,
EST,NLD,Lõputunnistus kutsekeshariduse omandamise kohta,a HAVO diploma for the general education part,,
EST,NLD,Gümnaasiumi lõputunnistus,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
EST,NLD,Rakenduskõrgharidusõppe diplomfrom aRakenduskõrgkool,an HBO bachelor's degree,,
EST,NLD,Bakalaureusekraadfrom aÜlikool,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
EST,NLD,Magistrikraadfrom aRakenduskõrgkool,an HBO master's degree,,
EST,NLD,Magistrikraadfrom aÜlikool(duration: 1-2 years),an HBO master's degree or a WO master's degree,,
EST,NLD,Magistrikraadfrom aÜlikool(duration: 5-6 years),a WO master's degree,Research master's degree,MA/MSc by research
ETH,NLD,Ethiopian General Secondary Education Certificate(before 2021),a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
ETH,NLD,(Ethiopian) Secondary School Leaving Examinationwith at least:6 subjects with a result of 50 or higher; anda total score (total) of at least 335.(from 2021 onwards),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
ETH,NLD,Ethiopian University Entrance Examination Certificatewith at least:6 subjects with a result of 50 or higher; anda total score (total) of at least 335.(before 2021),a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
ETH,NLD,TVET Certificate Level V,Please contact us for acredential evaluation.,,
ETH,NLD,Bachelor of Arts,an HBO bachelor's degree or 2 years of WO,,
ETH,NLD,Bachelor of Business,an HBO bachelor's degree or 2 years of WO,,
ETH,NLD,Bachelor of Science (duration: 3 or 4 years),an HBO bachelor's degree or 2 years of WO,,
ETH,NLD,Bachelor of Laws,a WO bachelor's degree,,
ETH,NLD,Bachelor of Pharmacy,a WO bachelor's degree,,
ETH,NLD,Bachelor of Science (duration: 5 years),"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
ETH,NLD,Doctor of Medicine,1 year of a 3-year WO master's programme in medicine,,
ETH,NLD,Doctor of Veterinary Medicine,1 year of a 3-year WO master's programme in veterinary medicine,,
ETH,NLD,Master's degree with at least a 3- or 4-year bachelor's degree as admission requirement,an HBO master's degree or a 1-year WO master's degree,,
ETH,NLD,Master's degree with a 5-year bachelor's degree as admission requirement,an HBO master's degree or a WO master's degree,,
FIN,NLD,Ammatillinen perustutkinto,"an MBO diploma level 2, 3 or 4",,
FIN,NLD,Ylioppilastutkintotodistus(Certificate of the Matriculation Examination),a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
FIN,NLD,Bachelor's degree from a university of applied sciences,an HBO bachelor's degree,,
FIN,NLD,Bachelor's degree from a university,"usually a WO bachelor's degree, sometimes an HBO bachelor's degree",Honours bachelor's degree,
FIN,NLD,Master's degree from a university of applied sciences,an HBO master's degree,,
FIN,NLD,Master's degree from a university,"usually a WO master's degree, sometimes an HBO master's degree",,
FRA,NLD,Diplôme national du brevet,at least 3 years of general secondary education,,
FRA,NLD,Diplôme du baccalauréat général,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
FRA,NLD,Diplôme du baccalauréat technologique,"usually a VWO diploma, sometimes a HAVO diploma",,
FRA,NLD,Diplôme du baccalauréat professionnel,an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
FRA,NLD,Brevet de Technicien Supérieur,an asssociate degree or 2 years of HBO,,
FRA,NLD,Diplôme Universitaire de Technologie,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
FRA,NLD,Licence,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
FRA,NLD,Licence professionnelle,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
FRA,NLD,Bachelor Universitaire de Technologie,an HBO bachelor's degree,,
FRA,NLD,Diplôme de Grande École,an HBO master's degree or a WO master's degree,,
FRA,NLD,Master,an HBO master's degree or a WO master's degree,,
GEO,NLD,General education diploma,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
GEO,NLD,Bachelor’s diploma,an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
GEO,NLD,Master’s diploma,an HBO master's degree or a WO master's degree,,
DEU,NLD,Abschlusszeugnis der Klasse 10 der Hauptschule,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
DEU,NLD,Mittlere Reife,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
DEU,NLD,Mittlerer Schulabschluss,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
DEU,NLD,Realabschluss,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
DEU,NLD,Sekundarabschluss I,a VMBO-T diploma,,General Certificate of Secondary Education (GCSE) in 6 subjects (D to G or 3 to 1)
DEU,NLD,Fachhochschulreife,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
DEU,NLD,Zeugnis der allgemeinen Hochschulreife,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
DEU,NLD,Zeugnis der fachgebundenen Hochschulreife,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
DEU,NLD,Diplom-Vorprüfungszeugnis from a Fachhochschule,1½ to 2 years of HBO,,
DEU,NLD,Zwischenprüfungszeugnisfrom a research-oriented institution,2 years of WO,,
DEU,NLD,Bachelors degreefrom aFachhochschule,an HBO bachelor's degree,,
DEU,NLD,Diplomfrom aFachhochschule,an HBO bachelor's degree,,
DEU,NLD,Bachelor's degree from a research-oriented institution,a WO bachelor's degree,,
DEU,NLD,Diplomfrom a research-oriented institution,a WO master's degree,Research master's degree,MA/MSc by research
DEU,NLD,Magisterfrom a research-oriented institution,a WO master's degree,Research master's degree,MA/MSc by research
DEU,NLD,Master's degree from aFachhochschule,an HBO master's degree,,
DEU,NLD,Master's degree from a research-oriented institution,a WO master's degree,Research master's degree,MA/MSc by research
DEU,NLD,Staatsprüfungfrom a research-oriented institution,Please contact us for acredential evaluation,,
GHA,NLD,Basic Education Certificate,2 years of HAVO,,
GHA,NLD,Certificate I,an MBO diploma level 2,,
GHA,NLD,Certificate II,"usually an MBO diploma level 3, sometimes an MBO diploma level 4",,
GHA,NLD,West African Senior School Certificatewith aC6 or higherfor at least 6 subjects,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
GHA,NLD,Higher National Diploma,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
GHA,NLD,Diploma in Basic Education (DBE),3 years of HBO,,
GHA,NLD,Bachelor of Technology,an HBO bachelor's degree,,
GHA,NLD,Bachelor's degree(duration: 4 years),an HBO bachelor's degree or 2 years of WO,,
GHA,NLD,Bachelor's degree(duration: 5 years),an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
GHA,NLD,Bachelor of Medicine and Bachelor of Surgery,1 year of a 3-year WO master's programme in medicine,,
GHA,NLD,Taught master's degree(duration: 1 year),a WO bachelor's degree or an HBO master's degree,,
GHA,NLD,Taught master's degree(duration: 2 years),an HBO master's degree or a (1-year) WO master's degree,,
GHA,NLD,Master of Technology,an HBO master's degree,,
GHA,NLD,Master of Philosophy,a WO master's degree,Research master's degree,MA/MSc by research
GRC,NLD,Apolytirio Epangelmatikou Sgoli (Απολυτήριο Επαγγελματικού Σγολη),"usually an MBO diploma level 2, sometimes an MBO diploma level 3",,
GRC,NLD,Apolytirio Epangelmatikou Lykeiou(Απολυτήριο Επαγγελματικού Λυκείου),"a HAVO diploma for the general education part, for the vocational education part usually an MBO diploma 3, sometimes an MBO diploma level 4",,
GRC,NLD,Apolytirio Genikou Lykeiou(Απολυτήριο Γενικού Λυκείου)with a grade average below 10,a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
GRC,NLD,Apolytirio Genikou Lykeiou(Απολυτήριο Γενικού Λυκείου)with a grade average of 10 or higher,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
GRC,NLD,BebaiosiEpangelmatiki Katartisis (Βεβαίωση Επαγγελματικής Κατάρτησης),an MBO diploma level 4,,BTEC Level 3 National Extended Diploma
GRC,NLD,Ptychio TE(Πτυχίο TE),an HBO bachelor's degree,,
GRC,NLD,"Ptychio(Πτυχίο)from a university,duration: 4 years","usually a WO bachelor's degree without a thesis, sometimes an HBO bachelor's degree",,
GRC,NLD,Ptychio(Πτυχίο)from a universityafter a Ptychio TE (Πτυχίο TE),Please contact us for acredential evaluation,,
GRC,NLD,Ptychio (Πτυχίο) in veterinary medicine (Κτηνιατρική),a WO master's degree in veterinary medicine,,
GRC,NLD,Ptychio (Πτυχίο) in medicine (Ιατρική),a WO master's degree in medicine,,
GRC,NLD,Diploma(Δίπλωμα)from a university,a WO bachelor's degree including a thesis (if Greece places the diploma at HQF level 6); ora WO master's degree (if Greece places the diploma at HQF level 7).,,
GRC,NLD,Metaptychiako Diploma Eidikefsis (Μεταπτυχιακό Δίπλωμα Ειδίκευσης),"usually a WO master's degree, sometimes an HBO master's degree",,
UNK,NLD,Diploma of Foundation Studies,an MBO diploma level 3,,
UNK,NLD,Diploma of Vocational Education,an MBO diploma level 3,,
UNK,NLD,Diploma Yi Jin/Yi Jin Diploma,a HAVO diploma for the general education part,,
UNK,NLD,"Hong Kong Diploma of Secondary Education (HKDSE) obtained from 2024 with a 2, 3, 4, 5, 5*, 5** or 'attained' for 5 subjects, including Chinese and English",a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,"Hong Kong Diploma of Secondary Education (HKDSE) obtained from 2024 in 6 subjects with:a 3, 4, 5, 5* or 5** for the subjects Chinese and English;a 2, 3, 4, 5, 5* or 5** for the subject maths and 2 electives; and'attained' for the subject Citizen and Social Development.",at least a HAVO diploma,,
UNK,NLD,"Hong Kong Diploma of Secondary Education (HKDSE) obtained before 2024 with a 2, 3, 4, 5, 5* or 5** for 5 subjects, including Chinese and English",a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,"Hong Kong Diploma of Secondary Education (HKDSE) obtained before 2024 in 6 subjects with:a 3, 4, 5, 5* or 5** for the subjects Chinese and English; anda 2, 3, 4, 5, 5* or 5** for the subjects Liberal Studies, maths and 2 electives",at least a HAVO diploma,,
UNK,NLD,"Hong Kong Certificate of Education Examination (HKCEE) with a 3, 4, 5 or 5* or an A, B, C, D or E for 6 subjects",a HAVO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with A* to C or 9 to 4 results in 4 subjects; General Certificate of Education (GCE) with A* to C results in 2 relevant subjects at AS level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,"The following combination:Hong Kong Certificate of Education Examination (HKCEE) with a 3, 4, 5 or 5* or an A, B, C, D or E for 6 subjects; andHong Kong Advanced Supplementary Level Examinations (HKASLE) with an A, B, C, D or E for the subjects in which the student took exams",at least a HAVO diploma,,
UNK,NLD,"The following combination:Hong Kong Certificate of Education Examination (HKCEE) with a 3, 4, 5 or 5* or an A, B or C, D or E for 6 subjects; andHong Kong Advanced Level Examinations (HKALE) with an A, B, C, D of E for the subjects in which the student took exams",a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
UNK,NLD,Associate Degree,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
UNK,NLD,Higher Diploma,an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
UNK,NLD,"Bachelor's degree,duration: 4 years(obtained in or after 2012)",an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
UNK,NLD,"Bachelor's degree, duration: 3 years(obtained before 2012)",an HBO bachelor's degree or a WO bachelor's degree,Bachelor's degree,
UNK,NLD,Master's degree,an HBO master's degree or a WO master's degree,,
UNK,NLD,Master of Philosophy,a WO master's degree,Research master's degree,MA/MSc by research
HUN,NLD,Gimnáziumi Érettségi Bizonyítvány,a VWO diploma,,"The following combination: General Certificate of Secondary Education (GCSE) with a result of A* to C or 9 to 4 in 3 subjects; General Certificate of Education (GCE) with a result of A* to C in 3 relevant subjects at A level; and a total of 6 different subjects, preferably including English and mathematics."
HUN,NLD,Szakközépiskolai Érettségi Képesítö Bizonyítvány,a VWO diploma for the general education part,,
HUN,NLD,Certificate offelsőfokú szakképzés/Higher Vocational Training programmes (HVT),an associate degree or 2 years of HBO,Advanced Diploma (AQF Level 6),Higher National Certificate (HNC)
HUN,NLD,Főiskolai oklevél(duration: 3 years),3 years of HBO,,
HUN,NLD,Főiskolai oklevél alap képzés(duration: 4 jaar),an HBO bachelor's degree,,
HUN,NLD,Egyetemi oklevél alap képzés,a WO bachelor's degree,,
